Hour,Severity,Num_of_Occurrences
00,2,404
00,4,21
01,2,409
01,4,20
02,2,372
02,4,19
03,2,354
03,4,11
04,2,400
04,4,20
05,2,766
05,4,28
06,2,1296
06,4,35
07,2,1765
07,4,31
08,2,1658
08,4,45
09,2,1320
09,4,31
10,2,1263
10,4,51
11,2,1219
11,4,31
12,2,1361
12,4,35
13,2,1629
13,4,40
14,2,2041
14,4,68
15,2,2150
15,4,53
16,2,2073
16,4,49
17,2,1864
17,4,63
18,2,1256
18,4,51
19,2,1065
19,4,55
20,2,933
20,4,44
21,2,856
21,4,31
22,2,699
22,4,37
23,2,578
23,4,29
